date,ex_rate,thb,usd,id,note,type
2023-02-15,34.5,249.78,7.24,a9311ba8-9250-4bdd-8bc4-b153dc75214d,,ExchangeToUSD
2023-02-15,34.32,999.74,29.13,07abf951-bd8a-424e-9859-97c2647c00dd,,ExchangeToUSD
2023-02-14,33.88,199.89,5.9,b3781e8c-9327-45b7-85d3-05f1995d629b,,ExchangeToUSD
2023-02-14,33.88,199.89,5.9,a54afb3d-b16a-4d87-afe4-79f3224bff2e,,ExchangeToUSD
2023-02-14,33.85,199.72,5.9,1f6c24ae-98cf-4bd1-b605-67659e6b3bb1,,ExchangeToUSD
2023-02-14,33.85,199.72,5.9,54176cf7-c805-4f5c-b435-00576f2c41be,,ExchangeToUSD
2023-02-14,33.93,199.85,5.89,801ef9c8-754d-4be1-ad83-c9c3c8c2642b,,ExchangeToUSD
2023-02-14,33.93,199.85,5.89,c75f84e0-738e-429c-a8bf-b44ce626f421,,ExchangeToUSD
2023-02-14,34.02,199.7,5.87,36f57883-37cb-4b30-9354-2eea784e848f,,ExchangeToUSD
2023-02-14,34.02,149.69,4.4,d56eae73-9762-455b-bc61-2477a40c92b1,,ExchangeToUSD
2023-02-14,34.02,99.68,2.93,978786a2-1fad-4d99-ae56-fb311fcc460d,,ExchangeToUSD
2023-02-14,33.9,199.67,5.89,35e116c0-bcd7-4b55-a78c-62a3751727da,,ExchangeToUSD
2023-02-14,33.9,299.68,8.84,481d4f64-f35b-4de3-97c5-c289c171e62a,,ExchangeToUSD
2023-02-14,33.91,299.76,8.84,163437bf-016f-4c4b-b04f-d33c8b824135,,ExchangeToUSD
2023-02-13,33.92,199.79,5.89,77acc066-41f3-4c46-b8e1-370e16a8401a,,ExchangeToUSD
2023-02-13,33.92,299.85,8.84,fd7f74b1-809c-4985-a55c-4657bcb197c3,,ExchangeToUSD
2023-02-13,33.92,399.92,11.79,ad6cf581-e513-457f-95ce-23ba74761eb0,,ExchangeToUSD
2023-02-13,33.92,499.98,14.74,d80756a1-874d-403e-8bd9-da7bf4e88aad,,ExchangeToUSD
2023-02-11,33.82,249.93,7.39,fa44bcf0-d8d2-4852-a4e5-9172885c19fb,,ExchangeToUSD
2023-02-10,33.61,249.72,7.43,046f77c6-fa10-4548-80ec-e72c0b107760,,ExchangeToUSD
2023-02-09,33.53,249.8,7.45,1be2ff05-5a4a-446e-ac4d-4cc508be0f53,,ExchangeToUSD
2023-02-09,33.53,249.8,7.45,70f8a9cb-6be8-4189-a147-ab2ac7b2e26b,,ExchangeToUSD
2023-02-09,33.53,249.8,7.45,90364ebc-fc5f-4b3f-bf41-8dba09ec1961,,ExchangeToUSD
2023-02-09,33.53,249.8,7.45,085678fe-8157-4cd3-b2cb-4261d1af9ce8,,ExchangeToUSD
2023-02-09,33.53,249.8,7.45,60f4b7e0-1e08-4be0-b28b-7e368f090f4d,,ExchangeToUSD
2023-02-09,33.53,249.8,7.45,2938f42a-0139-442a-89bc-8032fae2174e,,ExchangeToUSD
2023-02-09,33.53,249.8,7.45,23f79f09-e534-46fc-b43a-1553a8888542,,ExchangeToUSD
2023-02-08,33.53,499.93,14.91,dff0006e-ba00-47f3-afb1-fcc1c7d93dc5,,ExchangeToUSD
2023-02-03,33.04,499.9,15.13,5c83ca9b-e63f-4c4c-8d89-26d71341830a,,ExchangeToUSD
2023-02-01,32.95,249.76,7.58,e96a858b-e506-416d-9cef-d01533b839c8,,ExchangeToUSD
2023-02-01,32.97,249.91,7.58,05b5ee80-0bc3-41be-bb36-d0e64dc0444e,,ExchangeToUSD
2023-02-01,32.97,249.91,7.58,4b18da5b-6c54-4079-b4dd-6614f03ca9c9,,ExchangeToUSD
2023-02-01,32.97,249.91,7.58,62200b78-43f4-4162-8413-0e12872d9f26,,ExchangeToUSD
2023-02-01,32.97,249.91,7.58,17cb99a3-caf4-4d22-8ea5-cb596291d8dc,,ExchangeToUSD
2023-02-01,32.97,249.91,7.58,4a0dcbcb-465b-41b8-83ea-e7417e1da0ba,,ExchangeToUSD
2023-02-01,32.97,249.91,7.58,a0a0ef4e-f911-4244-b210-8dcfd89fc555,,ExchangeToUSD
2023-02-01,32.97,249.91,7.58,80fc030d-a377-436c-bd48-f5b6df61c59b,,ExchangeToUSD
2023-02-01,32.97,249.91,7.58,d4b798bf-ac80-4b7e-9ab1-137491bd279f,,ExchangeToUSD
2023-03-30,34.27,171.35,5,6f8f28ab-e75d-44a6-909d-6d193fcfeded,,ExchangeToUSD
2023-03-29,34.26,497.11,14.51,778a8c28-c07e-4ac9-82aa-c90d778c16de,,ExchangeToUSD
2023-03-20,34.18,170.9,5,fb131264-3589-49a8-885e-febbae8bf424,,ExchangeToUSD
2023-03-16,34.49,344.9,10,04263023-ebcd-40d1-9cee-efb5804c94bf,,ExchangeToUSD
2023-03-13,34.57,311.19,9,f75cc340-43c2-4373-949d-deb25ba031bf,,ExchangeToUSD
2023-03-08,35.18,422.16,12,c5d34476-41d8-4b3a-93eb-f93c445bd726,,ExchangeToUSD
2023-03-07,34.82,661.58,19,dcf5ac1b-6d22-48bb-b079-2747e35b643e,,ExchangeToUSD
2023-03-06,34.54,149.9,4.34,a4c3b88b-7ed9-4cf7-8454-ea22d0ee9fdd,,ExchangeToUSD
2023-03-06,34.54,621.72,18,0d99f3af-72b0-4974-bd56-c5b5dbbfd86c,,ExchangeToUSD
2023-03-06,34.54,310.86,9,fe839f76-e315-4526-87f8-2410f88c02da,,ExchangeToUSD
2023-03-06,34.54,345.4,10,9199af26-7a4d-4bd9-b5c8-b86dfdb10da4,,ExchangeToUSD
2023-03-06,34.62,346.2,10,bd68d86f-c018-4576-aa69-57c653bad312,,ExchangeToUSD
2023-03-03,34.71,694.2,20,fed982c5-31b3-4a3d-b146-f8defedc4c2c,,ExchangeToUSD
2023-04-29,34.25,171.25,5,1eb3b2bf-e294-46c6-af31-6748f25f4af0,,ExchangeToUSD
2023-04-28,34.19,1025.7,30,59be144d-632a-4608-b328-0284b48d344d,,ExchangeToUSD
2023-04-27,34.23,513.45,15,da0619cc-b0f1-420b-8a4e-6414fa04adc2,,ExchangeToUSD
2023-04-27,34.23,684.6,20,7404e499-90a8-4cac-aa60-8468fc7eacc4,,ExchangeToUSD
2023-04-14,34.29,514.35,15,0c686cb9-1886-464f-a1f8-4a015828f5d4,,ExchangeToUSD
2023-04-12,34.25,1027.5,30,351710c6-3ef9-477c-a8d7-ec7e6632c617,,ExchangeToUSD
2023-04-07,34.29,99.78,2.91,c8a27b5e-fe94-496a-8b8f-34654ca3d60d,,ExchangeToUSD
2023-04-05,33.9,499.69,14.74,9eec6bef-b105-4beb-b826-a665ebf3eea9,,ExchangeToUSD
2023-04-03,34.28,611.39,17.84,3ac1827d-88de-428b-952c-8457af97ec1a,,ExchangeToUSD
2023-04-03,34.38,343.8,10,dba1816b-d629-4a73-8b4f-903e013b0691,,ExchangeToUSD
2023-04-03,34.38,1031.4,30,f7ec7d13-1faf-441e-9694-043bd4160ba7,,ExchangeToUSD
2023-05-17,34.38,515.7,15,b985f80c-699a-4a73-bb81-696e98978316,,ExchangeToUSD
